Temperature (C),Humidity (%),Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z,Distance (cm)
27.2,64.4,-344,-3368,-15744,-5,-295,-308,-64,-149,-331,2.32
27.2,64.4,-208,-3280,-16064,-370,147,-192,-71,-147,-336,2.32
27.2,64.4,-120,-3216,-15920,269,-332,-272,-70,-153,-333,2.31
27.3,64.4,-208,-3160,-16032,-133,186,4,-60,-159,-336,2.32
27.2,64.4,64,-3128,-15960,373,-205,35,-69,-164,-324,2.31
27.2,64.4,-256,-3160,-15976,-15,65,-147,-68,-148,-342,2.32
27.2,64.4,-152,-3152,-15128,-172,285,-313,-60,-157,-322,2.32
27.2,64.4,0,-3168,-15984,268,-74,245,-49,-104,-256,2.32
27.2,64.4,-128,-3160,-16848,-318,254,-162,-11,-48,-238,2.32
27.2,64.4,-168,-3336,-16040,-95,54,-9,4,-29,-226,2.31
27.2,64.4,96,-3144,-15944,-44,20,590,2,-31,-224,2.32
27.2,64.4,-56,-3216,-15976,7,47,-123,-9,-29,-222,2.32
27.2,64.4,-160,-3088,-15784,484,-258,196,-2,-24,-219,2.32
27.2,64.4,-256,-3400,-15656,-96,-198,346,0,-21,-226,2.32
27.2,64.4,-48,-3280,-15976,233,-146,-64,-5,-30,-223,2.33
27.2,64.4,-88,-3128,-16336,-81,50,-98,-11,-21,-222,2.32
27.2,64.4,-32,-3184,-16416,-196,-138,83,-28,-73,-247,2.32
27.2,64.5,-176,-3296,-16176,47,109,43,-44,-131,-226,2.32
27.2,64.4,-112,-3128,-15904,-195,54,-198,-70,-129,-351,2.32
27.2,64.4,-208,-3272,-16088,-49,-405,-443,1,-23,-331,2.31
27.2,64.4,-408,-3040,-15960,99,-183,306,-66,-21,-263,2.32
27.2,64.4,-200,-3328,-15984,270,-143,28,-69,-67,-276,2.32
27.2,64.3,-128,-3048,-15352,236,-81,98,-49,-80,-277,2.32
27.2,64.3,-120,-3256,-15552,-302,235,12,-33,-87,-289,2.32
27.2,64.3,-200,-3144,-15944,513,-229,-229,-30,-87,-286,2.31
27.2,64.3,-72,-3200,-16032,8,-126,-71,-36,-81,-283,2.31
27.2,64.3,-8,-3512,-16008,-100,118,-107,-42,-87,-282,2.32
27.2,64.3,-8,-3184,-15856,369,-428,81,-36,-79,-287,2.31
27.2,64.2,-328,-3264,-16248,102,-69,-274,-35,-82,-284,2.32
27.3,64.2,-128,-3104,-15872,59,-221,74,-30,-82,-293,2.31
27.3,64.3,-224,-3400,-15992,91,-48,-77,-29,-91,-287,2.32
27.3,64.3,-88,-3176,-15920,94,-225,-78,-36,-88,-301,2.32
27.3,64.3,-320,-3272,-15896,271,100,542,-34,-86,-290,2.32
27.3,64.3,-152,-3200,-15736,32,-69,62,-31,-84,-294,2.31
27.3,64.3,-56,-3152,-15800,-37,-389,30,-17,-84,-290,2.32
27.3,64.3,-232,-3352,-15776,71,-5,18,-36,-88,-294,2.32
27.3,64.4,-120,-3200,-16064,193,-140,195,-22,-93,-292,2.32
27.3,64.4,-208,-3296,-16080,45,-184,155,-23,-97,-284,2.32
27.3,64.4,-144,-3272,-15992,-177,246,-204,-17,-88,-278,2.32
27.3,64.4,8,-3024,-16040,-323,541,14,-16,-92,-282,2.31
27.3,64.4,-408,-3208,-16104,-273,350,-83,-17,-103,-278,2.32
27.3,64.4,-104,-3304,-16120,18,302,-512,-23,-92,-291,2.32
27.3,64.4,-88,-3216,-15936,274,-124,66,-14,-97,-291,2.32
27.3,64.4,-88,-3128,-16152,-64,36,-24,-16,-107,-282,2.32
27.3,64.4,-288,-3352,-16072,317,-196,550,-24,-98,-287,2.32
27.3,64.4,56,-3280,-16064,65,-364,-74,-18,-104,-284,2.31
27.3,64.5,-392,-3184,-16064,-501,95,-199,-12,-101,-285,2.32
27.3,64.5,-320,-3296,-15984,-84,302,-275,-16,-99,-284,2.31
27.3,64.5,-416,-3208,-15960,406,-177,-67,-28,-97,-289,2.32
27.3,64.5,-56,-2968,-15880,-130,-53,46,-11,-97,-286,2.32
27.3,64.5,-152,-3312,-16120,385,20,116,-16,-99,-286,2.31
27.3,64.5,-264,-3096,-15648,168,391,16,-21,-99,-282,2.33
27.3,64.5,-168,-3288,-15792,-193,55,2,-15,-101,-285,2.32
27.3,64.5,-168,-3176,-15840,-319,181,-216,-22,-98,-285,2.32
27.2,64.5,40,-3256,-15968,-156,133,151,-15,-98,-283,2.32
27.2,64.6,-152,-3304,-15888,242,-224,137,-15,-98,-292,2.32
27.2,64.6,-112,-3224,-15944,81,-95,265,-9,-95,-291,2.31
27.3,64.6,-144,-3088,-16064,-124,-12,-348,-18,-90,-272,2.32
27.2,64.6,-192,-3432,-15984,-332,56,88,-27,-93,-290,2.32
27.2,64.6,-360,-3232,-15968,-289,141,-414,-18,-92,-289,2.31
27.2,64.6,-136,-3208,-16008,95,-136,-76,-10,-96,-283,2.31
27.2,64.6,-40,-3152,-16024,15,-419,66,-20,-93,-290,2.31
27.2,64.6,-344,-3360,-15904,360,-170,-13,-15,-103,-294,2.32
27.2,64.6,-144,-3024,-15840,459,-350,202,-23,-107,-279,2.31
27.2,64.6,-16,-3240,-15992,-331,263,-153,-18,-92,-289,2.31
27.2,64.7,0,-3288,-15752,-4,-51,-121,-10,-88,-297,2.31
27.2,64.7,-296,-3000,-15944,-166,291,-431,-18,-99,-289,2.32
27.2,64.7,-120,-3464,-15936,-271,101,43,-24,-98,-290,2.32
27.2,64.7,-216,-3328,-15912,-44,140,-717,-21,-99,-291,2.33
27.2,64.7,-40,-3208,-15912,240,-16,-224,-22,-91,-287,2.32
27.2,64.7,-288,-3344,-15968,366,-6,-82,-11,-99,-282,2.31
27.2,64.7,-48,-3160,-15816,385,-264,234,-21,-97,-298,2.31
27.2,64.7,-56,-3128,-15880,-26,-27,-134,-18,-102,-291,2.32
27.2,64.8,-320,-3320,-15864,-22,129,-210,-24,-91,-280,2.32
27.2,64.8,-64,-3328,-15904,112,167,-187,-20,-93,-278,2.32
27.2,64.8,-56,-3064,-15936,224,137,58,-16,-90,-289,2.31
27.2,64.8,-264,-3280,-15768,220,-297,-136,-14,-97,-284,2.32
27.2,64.8,-144,-3096,-15736,172,-88,69,-18,-95,-282,2.31
27.2,64.8,-96,-3496,-16008,261,-5,479,-23,-90,-296,2.31
27.2,64.8,-176,-3448,-15920,-167,287,-413,-22,-106,-285,2.33
27.2,64.8,-160,-3008,-16016,11,35,108,-25,-95,-293,2.32
27.2,64.8,0,-3240,-16104,-173,-150,112,-22,-88,-290,2.32
27.2,64.8,-360,-3144,-16120,11,-274,-320,-20,-93,-290,2.31
27.2,64.9,-32,-3304,-15816,-307,198,-517,-23,-102,-296,2.31
27.2,64.9,-104,-3208,-16000,-154,74,-180,-15,-96,-290,2.32
27.2,64.9,-80,-3216,-16176,19,239,-308,-23,-95,-293,2.32
27.2,64.9,-288,-3104,-15928,-240,76,-232,-18,-95,-291,2.32
27.2,64.9,32,-3312,-15864,-33,-158,472,-17,-91,-283,2.33
27.2,64.9,-224,-3424,-16072,29,155,-345,-16,-97,-289,2.32
27.2,64.9,112,-3080,-15960,288,-471,-57,-21,-92,-289,2.32
27.2,64.9,-184,-3456,-16016,-201,302,-47,-23,-95,-284,2.32
27.2,65,-256,-3240,-15976,-292,36,-232,-25,-85,-293,2.32
27.2,65,-216,-3336,-15896,95,-157,-72,-22,-103,-283,2.32
27.2,65,-72,-3376,-16352,-290,78,372,-17,-93,-287,2.32
27.2,65,-80,-3392,-15560,223,24,-198,-35,-78,-256,2.31
27.2,65,-80,-3272,-15984,-41,-135,-33,-94,-73,-270,2.32
27.2,65,96,-3096,-16040,-315,291,-592,-70,-24,-291,2.32
27.2,65,-112,-3312,-16064,-136,166,-313,2,-21,-323,2.32
27.2,65,-112,-3440,-16304,-4,-188,19,-40,-109,-358,2.31
27.2,65,-96,-3440,-16168,122,171,-545,-67,-142,-338,2.32
27.2,65,-184,-3256,-16048,120,-131,-121,-70,-143,-335,2.33
27.1,64.9,-296,-3232,-15984,231,236,444,-76,-154,-322,2.32
27.2,64.9,-216,-3152,-15608,317,-21,385,-80,-151,-330,2.32
27.2,64.8,-200,-3248,-16016,-227,466,-22,-75,-163,-323,2.32
27.1,64.8,8,-3264,-15960,546,-37,-32,-68,-163,-326,2.32
27.2,64.7,-56,-3208,-15896,-192,182,127,-68,-165,-342,2.32
27.2,64.7,-88,-3344,-15968,-229,5,-514,-63,-146,-342,2.32
27.2,64.7,-192,-3296,-16848,28,-97,-481,-71,-145,-343,2.32
27.2,64.6,72,-3280,-15752,-138,372,-11,10,-69,-320,2.32
27.2,64.6,-272,-3056,-15544,84,-141,24,9,-26,-293,2.32
27.2,64.6,-112,-3216,-15848,-440,100,-382,1,-15,-304,2.32
27.2,64.6,-320,-3072,-15856,13,-252,391,-5,-8,-306,2.31
27.2,64.6,-96,-3352,-15720,24,-16,-71,-10,-15,-301,2.32
27.2,64.6,-344,-3296,-15816,-62,92,281,-4,-17,-293,2.32
27.2,64.5,-304,-3272,-15936,-45,-375,281,-4,-19,-300,2.33
27.2,64.5,112,-3048,-16128,-313,201,-456,-9,-14,-296,2.33
27.2,64.5,-200,-3056,-15936,93,108,-216,0,-9,-309,2.32
27.2,64.5,-160,-3424,-16648,52,252,299,-7,-12,-293,2.31
27.2,64.5,32,-3264,-15960,-154,139,164,-79,-32,-294,2.31
27.2,64.5,-128,-3264,-16248,-164,-6,-481,-88,-54,-276,2.31
27.2,64.5,-144,-3040,-15232,-33,158,-260,-46,-84,-274,2.32
27.2,64.3,16,-3288,-15712,-23,-1,-180,-35,-78,-291,2.32
27.2,64.3,-184,-3216,-15992,148,39,224,-30,-82,-289,2.32
27.2,64.3,-232,-3248,-15888,13,-146,-84,-44,-90,-277,2.31
27.2,64.5,-184,-3376,-16136,293,-170,223,-38,-88,-280,2.32
27.2,64.5,-96,-3392,-16024,-419,325,-116,-41,-93,-290,2.32
27.2,64.6,-368,-3296,-16016,76,-148,254,-31,-96,-280,2.32
27.2,64.6,-96,-3240,-15808,191,150,-256,-36,-84,-283,2.32
27.2,64.7,-112,-3328,-16248,187,-93,-52,-35,-85,-284,2.32
27.2,64.7,-280,-3048,-16120,-16,12,-171,-29,-88,-294,2.33
27.2,64.7,-104,-3328,-15832,-153,35,-280,-38,-93,-285,2.31
27.2,64.7,-136,-3232,-16112,150,98,-320,-28,-82,-284,2.31
27.2,64.6,-384,-3320,-15864,379,-123,410,-38,-79,-290,2.31
27.3,64.7,-88,-3152,-16016,218,-379,-77,-27,-81,-283,2.33
27.2,64.7,-216,-2992,-15872,-102,216,-80,-33,-85,-282,2.32
27.2,64.7,-216,-3328,-15896,259,-284,395,-29,-84,-292,2.32
27.2,64.7,-120,-3296,-15904,-121,-140,-240,-27,-79,-290,2.31
27.3,64.8,-320,-3232,-15992,133,-28,72,-25,-87,-286,2.32
27.3,64.9,-160,-3368,-15864,-359,70,-474,-31,-81,-286,2.31
27.3,64.9,-320,-3136,-16176,-27,120,-15,-31,-79,-294,2.31
27.3,64.9,-184,-3256,-15336,-220,236,-333,-30,-90,-284,2.32
27.3,64.9,-264,-3344,-15768,-341,68,-200,-49,-73,-270,2.32
27.3,64.9,-440,-3376,-16056,375,28,33,-75,-41,-275,2.31
27.3,64.9,-192,-3288,-16016,18,-319,-77,-69,-1,-274,2.33
27.3,64.9,-216,-3384,-16528,113,153,412,8,-13,-304,2.31
27.3,64.8,-272,-3280,-15944,519,-119,353,-3,-15,-306,2.31
27.3,64.7,-32,-3376,-16040,-89,-268,-35,-5,-20,-306,2.33
27.3,64.6,-208,-3288,-16040,-494,143,-762,4,-31,-291,2.32
27.3,64.5,-96,-3384,-16232,131,103,-123,-11,-17,-291,2.32
27.3,64.4,-200,-3424,-15992,-549,146,-300,-5,-20,-287,2.32
27.2,64.4,-144,-3304,-15992,-23,28,-14,-9,-14,-291,2.33
27.3,64.3,-80,-3208,-15904,-228,318,-627,-4,-24,-296,2.32
27.2,64.3,-128,-3272,-16016,-289,98,-259,-4,-12,-302,2.32
27.2,64.3,-128,-3424,-16736,41,-60,-347,-3,-8,-301,2.32
27.2,64.3,-152,-3248,-15712,-444,81,-374,-84,-36,-293,2.31
27.3,64.3,-184,-3456,-15768,-285,125,53,-97,-67,-274,2.32
27.2,64.2,-288,-3128,-15448,-133,245,-478,-48,-81,-260,2.32
27.2,64.2,-64,-3248,-15816,96,-300,40,-31,-79,-290,2.32
27.2,64.2,-384,-3256,-16112,-218,195,-130,-28,-85,-282,2.31
27.2,64.3,-296,-3248,-15912,-75,-120,-328,-29,-79,-276,2.32
27.2,64.4,40,-3248,-15944,-31,162,-12,-38,-91,-280,2.32
27.2,64.5,48,-3328,-15912,-152,111,-171,-42,-85,-279,2.32
27.2,64.6,-216,-3280,-16040,-516,18,-165,-49,-87,-279,2.33
27.2,64.6,-304,-3432,-15936,-26,50,-181,-35,-87,-282,2.33
27.2,64.6,-16,-3360,-16072,173,48,71,-30,-85,-282,2.32
27.2,64.6,-168,-3256,-16000,187,136,-103,-33,-85,-282,2.32
27.2,64.7,-232,-3152,-15952,197,-22,102,-25,-87,-286,2.32
27.2,64.7,-72,-3240,-15272,297,-167,-267,-36,-84,-255,2.31
27.2,64.7,-176,-3448,-16864,-266,174,34,-83,-69,-267,2.32
27.2,64.7,-160,-3304,-16160,-179,227,-159,-56,-60,-282,2.31
27.2,64.5,16,-3192,-15992,108,177,-146,-47,-56,-277,2.31
27.2,64.3,0,-3168,-15632,-347,345,-273,-55,-64,-264,2.32
27.2,64.3,-192,-3184,-15328,-322,291,-241,-61,-58,-261,2.32
27.2,64.2,88,-3648,-16032,363,-135,-451,-51,-48,-272,2.32
27.2,64.4,-240,-3224,-16040,-133,95,-494,-56,-65,-270,2.31
27.2,64.5,-184,-3336,-15872,-97,-137,249,-57,-54,-271,2.31
27.2,64.5,-272,-3304,-16200,-31,-168,-534,-47,-58,-268,2.31
27.2,64.6,-128,-3048,-15176,248,-206,-169,-47,-56,-284,2.32
27.2,64.6,-232,-3552,-16312,-126,197,-401,-55,20,-287,2.32
27.2,64.6,-104,-3336,-16280,86,-35,-62,1,-8,-304,2.32
27.2,64.6,56,-3064,-15992,217,-233,-213,2,-14,-305,2.32
27.2,64.6,-120,-3320,-16168,-291,334,-480,-3,-18,-292,2.32
27.2,64.5,-296,-3144,-16120,109,37,17,-14,-14,-284,2.33
27.1,64.5,-216,-3352,-16000,170,-174,-95,-9,-24,-296,2.31
27.2,64.4,-104,-3040,-16008,571,-233,-166,-10,-10,-283,2.32
27.1,64.4,-136,-3584,-15896,279,72,-56,-7,-19,-298,2.32
27.2,64.4,-352,-3096,-15936,-101,281,-487,-5,-6,-297,2.31
27.2,64.3,-248,-3144,-15832,231,153,-93,5,-10,-297,2.31
27.1,64.3,240,-3648,-17528,-17,410,-466,-9,-17,-293,2.32
27.2,64.3,-192,-3464,-15728,80,-229,-287,-10,-23,-287,2.32
27.1,64.3,-144,-3168,-16152,198,36,542,-4,-9,-298,2.31
27.1,64.3,-216,-3328,-16080,-54,-90,-157,-20,-18,-294,2.32
27.1,64.3,-264,-3224,-16048,63,-157,-144,2,-21,-293,2.32
27.1,64.4,48,-3360,-15936,-155,97,27,-16,-24,-291,2.33
27.2,64.4,-88,-3352,-15944,-348,223,-511,3,-15,-299,2.31
27.1,64.3,-208,-3184,-16064,335,6,249,1,-13,-292,2.32
27.2,64.4,32,-3392,-16264,187,42,-351,-50,8,-294,2.31
27.1,64.3,-72,-3168,-16096,-41,443,71,-53,-54,-287,2.33
27.1,64.3,-88,-3272,-16112,-34,-105,-35,-61,-99,-272,2.32
27.1,64.2,-224,-3200,-15120,335,-234,98,-22,-91,-283,2.32
27.1,64.3,-200,-3320,-16056,-195,216,-489,-29,-84,-294,2.32
27.1,64.4,-192,-3224,-15720,-88,222,-321,-27,-79,-290,2.32
27.1,64.5,-80,-3392,-16296,-198,112,77,-47,-92,-284,2.33
27.1,64.7,-216,-3032,-15720,120,-166,137,-38,-93,-280,2.32
27.1,64.8,-128,-3312,-15840,-259,-15,-66,-29,-88,-280,2.32
27.2,64.7,-288,-3272,-16016,-12,-89,121,-28,-87,-289,2.31
27.2,64.8,-136,-3192,-16008,-53,40,-418,-33,-85,-289,2.32
27.2,64.9,-328,-3456,-15872,-164,315,-224,-21,-85,-289,2.33
27.2,64.8,-328,-3280,-16104,-117,-383,-479,-29,-84,-287,2.32
27.2,64.9,-384,-3208,-16024,386,-120,-39,-22,-88,-285,2.32
27.2,64.9,-400,-3352,-15832,268,-4,281,-31,-96,-292,2.31
27.2,64.9,24,-3384,-15864,-380,-80,-291,-40,-87,-286,2.32
27.2,64.9,-272,-3288,-15896,-313,9,-22,-33,-82,-289,2.31
27.2,65,-288,-3176,-15936,135,285,78,-21,-80,-282,2.31
27.2,65,-200,-3224,-15960,356,-352,-103,-34,-84,-285,2.32
27.2,65.2,-320,-3344,-15904,-137,32,237,-29,-84,-285,2.33
27.2,65.3,-216,-3176,-15944,-233,89,-470,-25,-85,-296,2.31
27.2,65.3,-152,-3264,-16000,-57,160,-231,-41,-84,-299,2.32
27.2,65.3,-56,-3136,-15896,-120,212,-271,-28,-82,-291,2.31
27.2,65.3,-192,-3136,-15880,-264,-55,-70,-28,-85,-286,2.32
27.2,65.3,-80,-3272,-15976,-370,-12,-166,-29,-84,-292,2.32
27.2,65.3,-168,-3160,-15888,31,91,-40,-24,-86,-283,2.32
27.2,65.4,-392,-3344,-15992,280,-69,260,-29,-93,-290,2.33
27.2,65.4,-256,-3488,-15904,-237,164,-54,-21,-85,-298,2.32
27.2,65.5,-320,-3184,-16016,-188,114,-273,-31,-84,-297,2.31
27.2,65.5,-240,-3240,-15920,-290,134,85,-30,-87,-293,2.33
27.2,65.5,-184,-3264,-15960,-261,131,-171,-22,-86,-297,2.32
27.2,65.5,-240,-3288,-16024,-350,-267,-516,-29,-86,-294,2.31
27.2,65.5,-384,-3168,-15904,-618,-31,-161,-27,-98,-283,2.32
27.2,65.5,-160,-3552,-16360,214,27,-184,-14,-95,-293,2.31
27.2,65.5,-32,-3440,-16192,209,-140,86,-33,-78,-277,2.31
27.2,65.5,-232,-3432,-15736,-114,337,-357,-42,-70,-282,2.32
27.2,65.5,-176,-3200,-15736,-25,-340,-14,-37,-29,-286,2.32
27.2,65.6,-232,-3168,-15232,-16,501,-278,-48,-30,-283,2.32
27.2,65.6,-312,-3256,-15840,156,-342,-83,-54,-31,-286,2.32
27.2,65.6,-192,-3288,-16000,110,356,14,-44,-41,-283,2.33
27.2,65.7,-192,-3176,-16032,-167,358,-208,-44,-56,-282,2.32
27.2,65.7,-344,-3288,-15912,-292,99,-386,-42,-51,-279,2.32
27.2,65.7,-216,-3152,-15936,220,-299,-382,-43,-47,-274,2.31
27.2,65.7,184,-3328,-16016,-485,-70,-635,-44,-43,-286,2.32
27.2,65.7,-200,-3240,-15568,185,-207,217,-41,-40,-283,2.32
27.3,65.6,-328,-3392,-16056,249,-206,-100,-37,-41,-247,2.32
27.3,65.7,-72,-3384,-16184,238,92,265,-16,-78,-279,2.31
27.2,65.6,-288,-3456,-16704,23,308,-374,-28,-92,-296,2.32
27.3,65.6,-160,-3240,-15912,-23,262,11,-12,-91,-290,2.32
27.2,65.5,-144,-3240,-15936,-209,82,-254,-20,-96,-280,2.31
27.3,65.5,-40,-3224,-15992,-125,-311,-160,-28,-104,-298,2.32
27.3,65.4,-304,-3152,-15912,-261,162,-134,-38,-113,-283,2.31
27.3,65.4,-168,-3200,-15856,82,-116,4,-23,-90,-289,2.32
27.3,65.3,-280,-3360,-15920,63,99,-55,-25,-97,-293,2.31
27.3,65.2,-104,-3368,-15936,-167,-43,-244,-37,-82,-293,2.32
27.3,65.2,-272,-3224,-15912,194,-19,142,-22,-84,-297,2.32
27.3,65.1,-192,-3184,-15880,-51,-114,327,-35,-78,-289,2.32
27.3,65.1,-152,-3312,-15944,26,-116,-26,-29,-84,-292,2.32
27.3,65.2,-112,-3144,-15872,-187,84,-180,-37,-87,-291,2.31
27.3,65.1,-16,-3352,-15912,-149,12,62,-33,-95,-293,2.32
27.3,65.1,-168,-3120,-15232,-272,225,-343,-30,-82,-272,2.31
27.3,65.1,-104,-3408,-16320,24,41,-128,-115,-78,-249,2.32
27.3,65.1,-168,-3464,-16256,372,36,143,-69,-42,-280,2.31
27.3,64.9,56,-3216,-15896,170,-57,-7,-62,-45,-276,2.32
27.3,64.9,-368,-3336,-15712,-255,47,-201,-63,-43,-272,2.31
27.3,64.9,-152,-3288,-15856,-158,187,-77,-70,-36,-272,2.32
27.3,64.7,-400,-3312,-16176,-299,151,-29,-64,-45,-269,2.32
27.3,64.8,-136,-3320,-15856,-114,-17,-187,-75,-43,-272,2.32
27.3,64.7,-280,-3224,-15824,255,-45,-32,-61,-41,-268,2.31
27.3,64.7,-24,-3216,-15928,-229,-19,-396,-67,-45,-274,2.32
27.3,64.7,-136,-3368,-15896,123,-185,-75,-66,-39,-275,2.32
27.3,64.7,-160,-3160,-15992,99,-264,327,-57,-49,-274,2.31
27.3,64.7,-72,-3312,-15960,118,193,-7,-66,-43,-279,2.32
27.3,64.8,-208,-3456,-15904,20,-412,111,-64,-37,-278,2.32
27.3,64.7,-184,-3280,-15112,-52,304,165,-63,-41,-279,2.31
27.3,64.7,-8,-3192,-15976,187,-146,227,-48,-10,-278,2.31
27.3,64.8,-128,-3200,-15776,168,81,2,10,-28,-327,2.31
27.3,64.8,-312,-3464,-16720,-286,618,-245,-63,-143,-353,2.32
27.2,64.8,-184,-3320,-15952,-436,393,-517,-77,-153,-342,2.31
27.2,64.7,-120,-3176,-15824,-86,115,27,-57,-154,-324,2.31
27.3,64.8,-160,-3080,-16024,192,-234,-321,-68,-158,-333,2.32
27.2,64.6,120,-3320,-15520,-27,83,-134,-79,-149,-331,2.31
27.2,64.6,-240,-3192,-16032,-131,-279,-12,-73,-153,-326,2.33
27.2,64.5,-400,-3432,-16024,134,-214,-196,-79,-149,-331,2.31
27.2,64.5,-184,-3448,-16688,-134,55,-467,-71,-152,-341,2.32
27.2,64.5,-152,-3288,-15960,-188,94,-368,-20,-91,-345,2.31
27.2,64.5,-104,-3432,-15896,220,-130,-63,-8,-3,-280,2.32
27.2,64.4,-288,-3008,-15672,-42,-369,-561,-74,-49,-317,2.32
27.2,64.4,0,-3096,-15456,269,-398,66,-63,-43,-272,2.32
27.2,64.4,-376,-3368,-15904,-43,-219,24,-63,-36,-272,2.32
27.2,64.4,-328,-3352,-16272,331,279,707,-70,-41,-263,2.32
27.2,64.4,-24,-3296,-16136,-172,374,-201,-67,-52,-269,2.33
27.2,64.4,-104,-3112,-16048,57,237,99,-64,-49,-262,2.31
27.2,64.5,-208,-3344,-15808,-346,-2,-472,-73,-46,-263,2.32
27.2,64.5,-112,-3200,-15968,-70,322,-329,-64,-32,-271,2.32
27.3,64.5,-144,-3352,-15792,-2,-52,361,-60,-40,-267,2.31
27.2,64.6,-48,-3352,-15920,-113,132,-97,-61,-48,-268,2.31
27.2,64.6,-232,-3456,-15824,110,181,-229,-57,-42,-267,2.32
27.3,64.6,-296,-3240,-15952,-241,368,-149,-53,-62,-276,2.32
27.3,64.7,-256,-3280,-15984,-115,324,-250,-67,-45,-269,2.31
27.3,64.6,-136,-3264,-15832,455,-150,180,-61,-48,-277,2.32
27.2,64.6,-216,-3416,-16000,63,-121,-290,-70,-51,-284,2.32
27.2,64.6,-72,-3440,-15864,-234,418,-558,-50,-47,-280,2.32
27.2,64.6,-152,-3344,-15776,196,-380,226,-63,-43,-275,2.33
27.2,64.6,-48,-3376,-15936,-79,20,-429,-61,-53,-275,2.32
27.2,64.6,-56,-3600,-15944,-89,-114,259,-57,-37,-278,2.32
27.3,64.5,-16,-3336,-15824,-394,258,-181,-64,-49,-278,2.31
27.2,64.5,8,-3096,-16000,64,-307,29,-58,-41,-265,2.32
27.2,64.5,-176,-3184,-16072,-19,82,-27,-61,-46,-275,2.31
27.2,64.5,-136,-3336,-15984,9,-157,-196,-56,-46,-282,2.32
27.2,64.5,-72,-3376,-16080,-112,-29,178,-68,-41,-277,2.33
27.2,64.5,-168,-3152,-15984,25,-46,181,-67,-49,-276,2.31
27.2,64.5,-208,-3136,-15888,-161,-45,-190,-58,-53,-289,2.33
27.2,64.5,-152,-3080,-15944,-390,463,-224,-68,-46,-275,2.32
27.2,64.4,-216,-3296,-15960,217,-18,420,-60,-40,-274,2.32
27.2,64.4,-384,-3088,-15752,-43,224,-302,-69,-49,-274,2.32
27.2,64.4,-8,-3216,-15984,274,-6,-161,-58,-43,-270,2.32
27.2,64.5,-184,-3184,-15976,37,-346,-298,-63,-34,-265,2.32
27.2,64.5,-88,-3392,-15960,-145,298,148,-67,-40,-274,2.33
27.2,64.5,-312,-3352,-15864,104,-252,-94,-63,-34,-272,2.32
27.2,64.7,-128,-3160,-16144,89,-250,92,-73,-39,-272,2.32
27.2,64.7,-368,-3336,-16040,130,56,104,-66,-36,-270,2.32
27.2,64.8,-104,-3200,-16024,63,-96,-676,-66,-41,-275,2.32
27.2,64.8,-264,-3304,-15872,229,-349,232,-68,-41,-270,2.31
27.2,64.9,-152,-3192,-16064,-257,41,-189,-66,-51,-282,2.32
27.2,64.8,-160,-3576,-15752,-122,90,365,-66,-36,-268,2.31
27.2,64.8,-112,-3328,-15880,73,-402,262,-64,-42,-267,2.32
27.2,64.7,-216,-3216,-15912,-148,459,-130,-68,-43,-275,2.32
27.2,64.6,-32,-3392,-15880,-2,-368,68,-62,-47,-276,2.32
27.2,64.4,-48,-3576,-15944,329,-30,156,-70,-36,-272,2.31
27.2,64.3,-136,-3400,-15968,116,-464,135,-63,-48,-279,2.31
27.2,64.2,-256,-3288,-16032,-358,231,273,-66,-34,-272,2.32
27.2,64.2,-136,-3360,-16016,-455,17,-435,-73,-36,-272,2.32
27.2,64.3,-192,-3256,-15744,6,-3,-264,-62,-45,-280,2.32
27.2,64.3,-176,-3368,-15968,-90,-55,63,-70,-34,-268,2.31
27.2,64.4,-456,-3248,-15984,-446,370,-202,-66,-36,-265,2.32
27.2,64.5,-160,-3288,-15880,416,-342,145,-68,-43,-268,2.32
27.2,64.5,-96,-3488,-15896,-122,199,-297,-66,-46,-272,2.32
27.2,64.5,-344,-3168,-15800,272,-239,55,-62,-47,-276,2.32
27.2,64.5,-160,-3424,-16184,165,328,-105,-62,-49,-267,2.32
27.2,64.3,-184,-3232,-16008,-161,1,206,-68,-41,-270,2.32
27.2,64.2,-248,-3064,-16168,-181,51,-94,-74,-42,-269,2.31
27.2,64.1,-216,-3336,-15880,35,-333,-111,-67,-37,-285,2.32
27.2,64,-360,-3120,-15984,147,87,-85,-67,-37,-280,2.31
27.2,64.2,-352,-3272,-15792,-19,269,9,-64,-42,-274,2.31
27.1,64.3,-88,-3192,-16016,469,-42,280,-67,-47,-267,2.32
27.2,64.4,-264,-3264,-16088,-208,289,235,-66,-41,-270,2.32
27.1,64.4,-184,-3328,-15936,-161,379,-154,-69,-42,-267,2.31
27.2,64.5,-240,-3232,-16088,159,-148,443,-71,-42,-285,2.33
27.2,64.5,-176,-3344,-15888,-306,70,-420,-73,-46,-275,2.33
27.1,64.6,-64,-3176,-15832,97,-137,-51,-70,-53,-265,2.32
27.1,64.6,-128,-3248,-15968,-315,124,-184,-70,-36,-275,2.32
27.1,64.6,-136,-3304,-15928,-67,-205,-89,-60,-40,-274,2.32
27.1,64.7,-160,-3208,-15920,-328,-63,-312,-67,-45,-274,2.32
27.1,64.7,-120,-3224,-16088,209,-82,36,-71,-45,-278,2.32
27.1,64.7,-128,-3384,-15992,-290,325,1,-66,-41,-272,2.32
